Raccoon name: George 6
Average Location: X=591189.034454322, Y=4504604.085012094
Distance traveled: 593.9382753487247
Average energy level: 563.6214285714285
Raccoon end state: George number 6 died from starvation
Date	Time	X	Y	Asleep	Behavior Mode	Distance traveled
6/19/2008	6:00 AM	591071.374756626	4504664.29938361	False	SafeSearchModifier	0
6/19/2008	7:00 AM	591112.752918467	4504620.85001397	False	RiskySearchModifier	59.99999999488471
6/19/2008	8:00 AM	591159.738875885	4504583.53621216	False	RiskyForageModifier	119.99999999498166
6/19/2008	8:00 AM	591177.048458523	4504546.70960308	False	RiskyForageModifier	160.69177788045067
6/19/2008	9:00 AM	591184.067274814	4504531.77688002	False	RiskyForageModifier	177.19177788327485
6/19/2008	9:00 AM	591192.036321619	4504547.28129659	False	RiskyForageModifier	194.62429463093542
6/19/2008	10:00 AM	591210.13894318	4504582.5013916	False	RiskyForageModifier	234.22429462920817
6/19/2008	11:00 AM	591257.350537335	4504619.52929159	False	RiskyForageModifier	294.2242946318822
6/19/2008	11:00 AM	591307.574400613	4504641.73534564	False	RiskyForageModifier	349.1382753567686
6/19/2008	12:00 PM	591303.184361127	4504639.79432702	False	RiskyForageModifier	353.9382753540344
6/19/2008	1:00 PM	591243.186822335	4504639.25087614	False	RiskyForageModifier	413.9382753536402
6/19/2008	2:00 PM	591183.256748391	4504636.35497609	False	RiskyForageModifier	473.9382753539598
6/19/2008	3:00 PM	591123.432415996	4504631.76702955	False	RiskyForageModifier	533.9382753536046
6/19/2008	4:00 PM	591121.339525596	4504571.80354225	False	RiskyForageModifier	593.9382753487247
